Domain,Area,Element,Item,Year,Unit,Value
"Crops","World","Production","Sorghum","2010","tonnes","60123538"
"Crops","World","Production","Sorghum","2011","tonnes","56651554"
"Crops","World","Production","Sorghum","2012","tonnes","57183553"
"Crops","World","Production","Sorghum","2013","tonnes","61752570"
"Crops","World","Production","Sorghum","2014","tonnes","68237439"
"Crops","World","Production","Sorghum","2015","tonnes","65924626"
"Crops","World","Production","Sorghum","2016","tonnes","63930558"
"Crops","World","Production","Triticale","1961","tonnes",""
"Crops","World","Production","Triticale","1962","tonnes",""
"Crops","World","Production","Triticale","1963","tonnes",""
"Crops","World","Production","Triticale","1964","tonnes",""
"Crops","World","Production","Triticale","1965","tonnes",""
"Crops","World","Production","Triticale","1966","tonnes",""
"Crops","World","Production","Triticale","1967","tonnes",""
"Crops","World","Production","Triticale","1968","tonnes",""
"Crops","World","Production","Triticale","1969","tonnes",""
"Crops","World","Production","Triticale","1970","tonnes",""
"Crops","World","Production","Triticale","1971","tonnes",""
"Crops","World","Production","Triticale","1972","tonnes",""
"Crops","World","Production","Triticale","1973","tonnes",""
"Crops","World","Production","Triticale","1974","tonnes",""
"Crops","World","Production","Triticale","1975","tonnes","1200"
"Crops","World","Production","Triticale","1976","tonnes","2309"
"Crops","World","Production","Triticale","1977","tonnes","23213"
"Crops","World","Production","Triticale","1978","tonnes","49669"
"Crops","World","Production","Triticale","1979","tonnes","99054"
"Crops","World","Production","Triticale","1980","tonnes","167210"
"Crops","World","Production","Triticale","1981","tonnes","102280"
"Crops","World","Production","Triticale","1982","tonnes","86443"
"Crops","World","Production","Triticale","1983","tonnes","192464"
"Crops","World","Production","Triticale","1984","tonnes","374508"
"Crops","World","Production","Triticale","1985","tonnes","599060"
"Crops","World","Production","Triticale","1986","tonnes","913235"
"Crops","World","Production","Triticale","1987","tonnes","2062133"
"Crops","World","Production","Triticale","1988","tonnes","2904592"
"Crops","World","Production","Triticale","1989","tonnes","3835912"
"Crops","World","Production","Triticale","1990","tonnes","4453148"
"Crops","World","Production","Triticale","1991","tonnes","4742970"
"Crops","World","Production","Triticale","1992","tonnes","4411529"
"Crops","World","Production","Triticale","1993","tonnes","4977831"
"Crops","World","Production","Triticale","1994","tonnes","4759585"
"Crops","World","Production","Triticale","1995","tonnes","6193433"
"Crops","World","Production","Triticale","1996","tonnes","7448345"
"Crops","World","Production","Triticale","1997","tonnes","7933758"
"Crops","World","Production","Triticale","1998","tonnes","8775242"
"Crops","World","Production","Triticale","1999","tonnes","8311408"
"Crops","World","Production","Triticale","2000","tonnes","9111497"
"Crops","World","Production","Triticale","2001","tonnes","10825346"
"Crops","World","Production","Triticale","2002","tonnes","11962946"
"Crops","World","Production","Triticale","2003","tonnes","10518879"
"Crops","World","Production","Triticale","2004","tonnes","14240277"
"Crops","World","Production","Triticale","2005","tonnes","13312756"
"Crops","World","Production","Triticale","2006","tonnes","11703774"
"Crops","World","Production","Triticale","2007","tonnes","12123313"
"Crops","World","Production","Triticale","2008","tonnes","14240145"
"Crops","World","Production","Triticale","2009","tonnes","15664683"
"Crops","World","Production","Triticale","2010","tonnes","13740395"
"Crops","World","Production","Triticale","2011","tonnes","13556983"
"Crops","World","Production","Triticale","2012","tonnes","13651756"
"Crops","World","Production","Triticale","2013","tonnes","14463671"
"Crops","World","Production","Triticale","2014","tonnes","16953509"
"Crops","World","Production","Triticale","2015","tonnes","16340145"
"Crops","World","Production","Triticale","2016","tonnes","15228268"
"Crops","World","Production","Wheat","1961","tonnes","222357231"
"Crops","World","Production","Wheat","1962","tonnes","250319146"
"Crops","World","Production","Wheat","1963","tonnes","233339473"
"Crops","World","Production","Wheat","1964","tonnes","268791657"
"Crops","World","Production","Wheat","1965","tonnes","263645963"
"Crops","World","Production","Wheat","1966","tonnes","303785460"
"Crops","World","Production","Wheat","1967","tonnes","294295876"
"Crops","World","Production","Wheat","1968","tonnes","326843941"
"Crops","World","Production","Wheat","1969","tonnes","308640283"
"Crops","World","Production","Wheat","1970","tonnes","310740954"
"Crops","World","Production","Wheat","1971","tonnes","347525581"
"Crops","World","Production","Wheat","1972","tonnes","343001429"
"Crops","World","Production","Wheat","1973","tonnes","369334126"
"Crops","World","Production","Wheat","1974","tonnes","358825442"
"Crops","World","Production","Wheat","1975","tonnes","355806146"
"Crops","World","Production","Wheat","1976","tonnes","419868031"
"Crops","World","Production","Wheat","1977","tonnes","382276677"
"Crops","World","Production","Wheat","1978","tonnes","443844880"
"Crops","World","Production","Wheat","1979","tonnes","422999301"
"Crops","World","Production","Wheat","1980","tonnes","440187901"
"Crops","World","Production","Wheat","1981","tonnes","449633986"
"Crops","World","Production","Wheat","1982","tonnes","476768609"
"Crops","World","Production","Wheat","1983","tonnes","489555281"
"Crops","World","Production","Wheat","1984","tonnes","512330225"
"Crops","World","Production","Wheat","1985","tonnes","499527392"
"Crops","World","Production","Wheat","1986","tonnes","528685222"
"Crops","World","Production","Wheat","1987","tonnes","505075847"
"Crops","World","Production","Wheat","1988","tonnes","500656538"
"Crops","World","Production","Wheat","1989","tonnes","538206114"
"Crops","World","Production","Wheat","1990","tonnes","591330111"
"Crops","World","Production","Wheat","1991","tonnes","547820746"
"Crops","World","Production","Wheat","1992","tonnes","565111965"
"Crops","World","Production","Wheat","1993","tonnes","564739850"
"Crops","World","Production","Wheat","1994","tonnes","525435518"
"Crops","World","Production","Wheat","1995","tonnes","544357722"
"Crops","World","Production","Wheat","1996","tonnes","578616482"
"Crops","World","Production","Wheat","1997","tonnes","614651068"
"Crops","World","Production","Wheat","1998","tonnes","596175828"
"Crops","World","Production","Wheat","1999","tonnes","584763307"
"Crops","World","Production","Wheat","2000","tonnes","584999207"
"Crops","World","Production","Wheat","2001","tonnes","588243714"
"Crops","World","Production","Wheat","2002","tonnes","591981120"
"Crops","World","Production","Wheat","2003","tonnes","550053296"
"Crops","World","Production","Wheat","2004","tonnes","634873110"
"Crops","World","Production","Wheat","2005","tonnes","626943103"
"Crops","World","Production","Wheat","2006","tonnes","614538247"
"Crops","World","Production","Wheat","2007","tonnes","606681080"
"Crops","World","Production","Wheat","2008","tonnes","681015069"
"Crops","World","Production","Wheat","2009","tonnes","684192213"
"Crops","World","Production","Wheat","2010","tonnes","640327135"
"Crops","World","Production","Wheat","2011","tonnes","697697675"
"Crops","World","Production","Wheat","2012","tonnes","672724051"
"Crops","World","Production","Wheat","2013","tonnes","710956882"
"Crops","World","Production","Wheat","2014","tonnes","733534429"
"Crops","World","Production","Wheat","2015","tonnes","736984917"
"Crops","World","Production","Wheat","2016","tonnes","749460077"
