std,frac,mean,ssim,cmsc,gcmsc
0,1,0,1,0.9999999999993884,0.9999999999993884
0.001,1,0,0.9999570742624693,0.9996635901513367,0.9995745749524169
0.002,1,0,0.999828641622348,0.9989897373763919,0.9988453512111073
0.003,1,0,0.9996149929134017,0.9980436392522113,0.9978074285173877
0.004,1,0,0.9993163151514775,0.9967930147315733,0.9964621107494335
0.005,1,0,0.9989332487590911,0.995288258478131,0.9948645411208565
0.006,1,0,0.9984664795735878,0.9935705541571225,0.9930547097258802
0.007,1,0,0.9979163234303822,0.991666504426493,0.9910597145591983
0.008,1,0,0.9972832663023676,0.9895911102249948,0.9888875898024223
0.009000000000000001,1,0,0.9965679982321357,0.9873627996167159,0.9865577564162578
0.01,1,0,0.9957714939821863,0.9850006844491886,0.9840902621898591
0.011,1,0,0.9948946398785781,0.9825245066584699,0.9815063135389888
0.012,1,0,0.9939385123481467,0.9799570906454034,0.9788285231697194
0.013000000000000001,1,0,0.9929037594331209,0.9772997591168775,0.9760577706469036
0.014,1,0,0.991791324304451,0.9745625288500823,0.9732041644090678
0.015,1,0,0.9906027275501182,0.9717603058046375,0.9702828539038314
0.016,1,0,0.9893391031846266,0.9689003499820544,0.9673017091137969
0.017,1,0,0.9880010296935575,0.9659851947788517,0.9642629728411688
0.018000000000000002,1,0,0.986589670233432,0.9630206913612498,0.9611726717301424
0.019,1,0,0.9851065877168894,0.9600151563458482,0.9580389815240344
0.02,1,0,0.9835537333509199,0.9569791788142928,0.9548727571784966
0.021,1,0,0.9819318296783289,0.9539171860096447,0.951678322223226
0.022,1,0,0.9802427954697027,0.9508313594582339,0.9484591998126151
0.023,1,0,0.9784872222532325,0.9477215679409311,0.9452153614338079
0.024,1,0,0.9766662347840752,0.9445909488073274,0.941949178764193
0.025,1,0,0.9747817048521483,0.9414418148235022,0.9386641215027262
0.026000000000000002,1,0,0.9728358779301397,0.938277705403426,0.9353634372467557
0.027,1,0,0.9708293841623317,0.9350985733325213,0.9320465195881579
0.028,1,0,0.968764925838551,0.9319090487928035,0.9287178378585107
0.029,1,0,0.9666435179187592,0.9287106532651721,0.9253791835291479
0.03,1,0,0.9644659378455966,0.9255043687403812,0.9220318132387284
0.031,1,0,0.9622598585248676,0.9222919991085078,0.9186801313208713
0.032,1,0,0.9600104639860478,0.9190761548109003,0.9153252470229716
0.033,1,0,0.957714182272938,0.9158596838099918,0.9119691796971569
0.034,1,0,0.9553713994082274,0.9126437028854664,0.9086134703147092
0.035,1,0,0.9529848244825067,0.9094299768407632,0.9052598829972561
0.036000000000000004,1,0,0.9505547641328437,0.906217206709056,0.9019074795262472
0.037,1,0,0.9480830689886013,0.9030069325655719,0.8985573226275423
0.038,1,0,0.945572329255635,0.8998013831169088,0.8952121544605729
0.039,1,0,0.9430236674901767,0.896600315508626,0.8918710203731961
0.04,1,0,0.9404376118905415,0.8934053492197369,0.8885362256978248
0.041,1,0,0.9378163627634285,0.8902190664909161,0.8852099226458691
0.042,1,0,0.9351611878082045,0.887038803218957,0.8818897058058291
0.043000000000000003,1,0,0.9324742983250903,0.8838678480952351,0.8785788113509201
0.044,1,0,0.9297557246277597,0.8807062714321858,0.8752771181972689
0.045,1,0,0.9270079424270377,0.8775571956107729,0.871986725379701
0.046,1,0,0.9242311232019892,0.8744176900988835,0.8687053620469729
0.047,1,0,0.9214288965731828,0.8712913072731819,0.8654366444639688
0.048,1,0,0.918601445418332,0.8681762268213603,0.8621792211586553
0.049,1,0,0.9157495576656502,0.8650039402142077,0.8588913266568937
0.05,1,0,0.9128744810404674,0.8619119699899694,0.8556571191101432
0.051000000000000004,1,0,0.9099773249347402,0.8588307695801712,0.8524341059703395
0.052000000000000005,1,0,0.907058731057662,0.8557608531745073,0.8492224032769791
0.053,1,0,0.9041207961311204,0.8527040554702295,0.8460244758379795
0.054,1,0,0.901165752556691,0.8496624874640256,0.8428419529825344
0.055,1,0,0.8981950850860384,0.8466356920293884,0.8396743120777829
0.056,1,0,0.8952089492997561,0.8436241817364762,0.8365220761781503
0.057,1,0,0.8922075479070201,0.8406267726191811,0.833384172905379
0.058,1,0,0.8891909976698152,0.8376426333781329,0.8302601342930329
0.059000000000000004,1,0,0.8861612484190986,0.834672589895453,0.8271503123553593
0.06,1,0,0.8831200537726472,0.8317181486701234,0.8240563592679867
0.061,1,0,0.8800685719377905,0.8287799469111856,0.8209789919475767
0.062,1,0,0.8770077944123659,0.8258582359156984,0.8179183075257832
0.063,1,0,0.8739381523477795,0.8229518146303774,0.8148726955924512
0.064,1,0,0.870860320026639,0.8200607508085963,0.811842382795177
0.065,1,0,0.8677751805944659,0.8171852386798317,0.808827815552698
0.066,1,0,0.8646835447609597,0.8143246056482514,0.8058281638910121
0.067,1,0,0.8615851685939784,0.8114773503649065,0.8028423083734902
0.068,1,0,0.8584805280094087,0.8086439980215816,0.7998712876306461
0.069,1,0,0.8553713127983442,0.8058256816883131,0.796915735341803
0.07,1,0,0.8522583816743265,0.8030223394424922,0.7939755970478348
0.07100000000000001,1,0,0.8491425205539336,0.8002334373462006,0.7910508051504872
0.07200000000000001,1,0,0.8460241858399159,0.7974592616474695,0.7881411306453979
0.073,1,0,0.8429052362451467,0.7947000518594372,0.7852469175998907
0.074,1,0,0.8397859771433595,0.791956077441683,0.7823684993231356
0.075,1,0,0.8366666668756887,0.7892277344420799,0.7795061153598314
0.076,1,0,0.8335500447948001,0.786515824909533,0.7766606811761199
0.077,1,0,0.830437381549057,0.7838216313503367,0.7738335558166185
0.078,1,0,0.8273260767084789,0.781141890270337,0.7710214332991531
0.079,1,0,0.8242165323695974,0.7784769882129631,0.7682248821422047
0.08,1,0,0.8211087583993976,0.7758263528024231,0.7654429918088475
0.081,1,0,0.8180028805466832,0.7731900715532225,0.7626759316803536
0.082,1,0,0.8149003270044644,0.770568997548068,0.7599246647672467
0.083,1,0,0.8118006268375516,0.7679620230225014,0.7571881418779084
0.084,1,0,0.8087053395964846,0.7653699195004153,0.754466985197678
0.085,1,0,0.8056158085475693,0.7627930695410539,0.7517615721769165
0.08600000000000001,1,0,0.802532501213624,0.7602317876478214,0.7490723745186713
0.08700000000000001,1,0,0.799454880997918,0.7576849876581019,0.7463983728331295
0.088,1,0,0.7963828427515187,0.7551182791241633,0.7437084090452345
